# MOCK_DATA — 운영시 BI 추출 파일로 교체
arrivalMonth,brandId,style,color,size,qty
2026-05,adidas,CAMPUS,GREY,41,32
2026-06,adidas,CAMPUS,GREY,41,31
2026-07,adidas,CAMPUS,GREY,41,76
2026-08,adidas,CAMPUS,GREY,41,100
2026-05,newbalance,530,BEIGE,43,85
2026-06,newbalance,530,BEIGE,43,84
2026-07,newbalance,530,BEIGE,43,63
2026-08,newbalance,530,BEIGE,43,81
2026-05,puma,SUEDE CLASSIC,WHITE,41,20
2026-06,puma,SUEDE CLASSIC,WHITE,41,23
2026-07,puma,SUEDE CLASSIC,WHITE,41,56
2026-08,puma,SUEDE CLASSIC,WHITE,41,100
2026-05,birkenstock,BOSTON,WHITE,42,48
2026-06,birkenstock,BOSTON,WHITE,42,34
2026-07,birkenstock,BOSTON,WHITE,42,20
2026-08,birkenstock,BOSTON,WHITE,42,67
2026-05,newbalance,530,NAVY,41,39
2026-06,newbalance,530,NAVY,41,90
2026-07,newbalance,530,NAVY,41,97
2026-08,newbalance,530,NAVY,41,31
2026-05,nike,JORDAN 1 LOW,GREY,39,38
2026-06,nike,JORDAN 1 LOW,GREY,39,87
2026-07,nike,JORDAN 1 LOW,GREY,39,21
2026-08,nike,JORDAN 1 LOW,GREY,39,52
2026-05,lacoste,CARNABY EVO,NAVY,M,90
2026-06,lacoste,CARNABY EVO,NAVY,M,43
2026-07,lacoste,CARNABY EVO,NAVY,M,61
2026-08,lacoste,CARNABY EVO,NAVY,M,97
2026-05,adidas,ULTRABOOST 22,NAVY,39,31
2026-06,adidas,ULTRABOOST 22,NAVY,39,75
2026-07,adidas,ULTRABOOST 22,NAVY,39,98
2026-08,adidas,ULTRABOOST 22,NAVY,39,71
2026-05,puma,SUEDE CLASSIC,NAVY,41,53
2026-06,puma,SUEDE CLASSIC,NAVY,41,32
2026-07,puma,SUEDE CLASSIC,NAVY,41,72
2026-08,puma,SUEDE CLASSIC,NAVY,41,58
2026-05,newbalance,2002R,NAVY,39,81
2026-06,newbalance,2002R,NAVY,39,36
2026-07,newbalance,2002R,NAVY,39,82
2026-08,newbalance,2002R,NAVY,39,27
2026-05,lacoste,CROC HOODIE,WHITE,S,78
2026-06,lacoste,CROC HOODIE,WHITE,S,73
2026-07,lacoste,CROC HOODIE,WHITE,S,34
2026-08,lacoste,CROC HOODIE,WHITE,S,91
2026-05,adidas,SUPERSTAR,CORE BLACK,39,83
2026-06,adidas,SUPERSTAR,CORE BLACK,39,20
2026-07,adidas,SUPERSTAR,CORE BLACK,39,38
2026-08,adidas,SUPERSTAR,CORE BLACK,39,81
2026-05,newbalance,550,GREY,41,53
2026-06,newbalance,550,GREY,41,84
2026-07,newbalance,550,GREY,41,62
2026-08,newbalance,550,GREY,41,56
2026-05,lacoste,L.12.12 POLO,GREY,S,71
2026-06,lacoste,L.12.12 POLO,GREY,S,38
2026-07,lacoste,L.12.12 POLO,GREY,S,59
2026-08,lacoste,L.12.12 POLO,GREY,S,79
2026-05,newbalance,996,GREY,39,95
2026-06,newbalance,996,GREY,39,40
2026-07,newbalance,996,GREY,39,77
2026-08,newbalance,996,GREY,39,81
2026-05,newbalance,530,NAVY,41,96
2026-06,newbalance,530,NAVY,41,22
2026-07,newbalance,530,NAVY,41,40
2026-08,newbalance,530,NAVY,41,96
2026-05,birkenstock,ARIZONA,BEIGE,42,85
2026-06,birkenstock,ARIZONA,BEIGE,42,39
2026-07,birkenstock,ARIZONA,BEIGE,42,43
2026-08,birkenstock,ARIZONA,BEIGE,42,98
2026-05,birkenstock,ARIZONA,BEIGE,43,80
2026-06,birkenstock,ARIZONA,BEIGE,43,50
2026-07,birkenstock,ARIZONA,BEIGE,43,97
2026-08,birkenstock,ARIZONA,BEIGE,43,39
2026-05,puma,SUEDE CLASSIC,GREY,39,99
2026-06,puma,SUEDE CLASSIC,GREY,39,55
2026-07,puma,SUEDE CLASSIC,GREY,39,70
2026-08,puma,SUEDE CLASSIC,GREY,39,24
2026-05,adidas,GAZELLE,WHITE,39,74
2026-06,adidas,GAZELLE,WHITE,39,37
2026-07,adidas,GAZELLE,WHITE,39,84
2026-08,adidas,GAZELLE,WHITE,39,85
2026-05,adidas,ULTRABOOST 22,CORE BLACK,42,58
2026-06,adidas,ULTRABOOST 22,CORE BLACK,42,40
2026-07,adidas,ULTRABOOST 22,CORE BLACK,42,71
2026-08,adidas,ULTRABOOST 22,CORE BLACK,42,28
2026-05,puma,SUEDE CLASSIC,WHITE,43,78
2026-06,puma,SUEDE CLASSIC,WHITE,43,34
2026-07,puma,SUEDE CLASSIC,WHITE,43,29
2026-08,puma,SUEDE CLASSIC,WHITE,43,38
2026-05,birkenstock,ARIZONA,CORE BLACK,42,71
2026-06,birkenstock,ARIZONA,CORE BLACK,42,86
2026-07,birkenstock,ARIZONA,CORE BLACK,42,68
2026-08,birkenstock,ARIZONA,CORE BLACK,42,52
2026-05,birkenstock,ARIZONA,CORE BLACK,40,82
2026-06,birkenstock,ARIZONA,CORE BLACK,40,20
2026-07,birkenstock,ARIZONA,CORE BLACK,40,54
2026-08,birkenstock,ARIZONA,CORE BLACK,40,68
2026-05,puma,SUEDE CLASSIC,BEIGE,42,37
2026-06,puma,SUEDE CLASSIC,BEIGE,42,57
2026-07,puma,SUEDE CLASSIC,BEIGE,42,85
2026-08,puma,SUEDE CLASSIC,BEIGE,42,86
2026-05,nike,JORDAN 1 LOW,GREY,42,72
2026-06,nike,JORDAN 1 LOW,GREY,42,35
2026-07,nike,JORDAN 1 LOW,GREY,42,96
2026-08,nike,JORDAN 1 LOW,GREY,42,24
2026-05,puma,SUEDE CLASSIC,GREY,40,64
2026-06,puma,SUEDE CLASSIC,GREY,40,97
2026-07,puma,SUEDE CLASSIC,GREY,40,89
2026-08,puma,SUEDE CLASSIC,GREY,40,44
2026-05,nike,JORDAN 1 LOW,WHITE,41,33
2026-06,nike,JORDAN 1 LOW,WHITE,41,51
2026-07,nike,JORDAN 1 LOW,WHITE,41,48
2026-08,nike,JORDAN 1 LOW,WHITE,41,55
2026-05,birkenstock,ARIZONA,WHITE,42,91
2026-06,birkenstock,ARIZONA,WHITE,42,35
2026-07,birkenstock,ARIZONA,WHITE,42,36
2026-08,birkenstock,ARIZONA,WHITE,42,94
2026-05,adidas,SAMBA OG,WHITE,40,99
2026-06,adidas,SAMBA OG,WHITE,40,45
2026-07,adidas,SAMBA OG,WHITE,40,75
2026-08,adidas,SAMBA OG,WHITE,40,46
2026-05,adidas,SAMBA OG,GREY,40,81
2026-06,adidas,SAMBA OG,GREY,40,68
2026-07,adidas,SAMBA OG,GREY,40,87
2026-08,adidas,SAMBA OG,GREY,40,29
2026-05,nike,AIR MAX 95,NAVY,42,28
2026-06,nike,AIR MAX 95,NAVY,42,88
2026-07,nike,AIR MAX 95,NAVY,42,71
2026-08,nike,AIR MAX 95,NAVY,42,48
2026-05,birkenstock,BOSTON,WHITE,43,49
2026-06,birkenstock,BOSTON,WHITE,43,35
2026-07,birkenstock,BOSTON,WHITE,43,74
2026-08,birkenstock,BOSTON,WHITE,43,63
2026-05,birkenstock,ARIZONA,NAVY,43,39
2026-06,birkenstock,ARIZONA,NAVY,43,31
2026-07,birkenstock,ARIZONA,NAVY,43,50
2026-08,birkenstock,ARIZONA,NAVY,43,73
2026-05,nike,AIR MAX 95,WHITE,41,75
2026-06,nike,AIR MAX 95,WHITE,41,93
2026-07,nike,AIR MAX 95,WHITE,41,88
2026-08,nike,AIR MAX 95,WHITE,41,91
2026-05,nike,JORDAN 1 LOW,GREY,39,100
2026-06,nike,JORDAN 1 LOW,GREY,39,36
2026-07,nike,JORDAN 1 LOW,GREY,39,23
2026-08,nike,JORDAN 1 LOW,GREY,39,69
2026-05,newbalance,574,NAVY,41,36
2026-06,newbalance,574,NAVY,41,98
2026-07,newbalance,574,NAVY,41,56
2026-08,newbalance,574,NAVY,41,69
2026-05,birkenstock,BOSTON,BEIGE,43,45
2026-06,birkenstock,BOSTON,BEIGE,43,39
2026-07,birkenstock,BOSTON,BEIGE,43,62
2026-08,birkenstock,BOSTON,BEIGE,43,43
2026-05,nike,BLAZER MID,GREY,40,78
2026-06,nike,BLAZER MID,GREY,40,32
2026-07,nike,BLAZER MID,GREY,40,52
2026-08,nike,BLAZER MID,GREY,40,73
2026-05,lacoste,L.12.12 POLO,NAVY,XL,93
2026-06,lacoste,L.12.12 POLO,NAVY,XL,51
2026-07,lacoste,L.12.12 POLO,NAVY,XL,34
2026-08,lacoste,L.12.12 POLO,NAVY,XL,24
2026-05,birkenstock,ARIZONA,NAVY,40,63
2026-06,birkenstock,ARIZONA,NAVY,40,25
2026-07,birkenstock,ARIZONA,NAVY,40,55
2026-08,birkenstock,ARIZONA,NAVY,40,88
2026-05,newbalance,996,GREY,42,92
2026-06,newbalance,996,GREY,42,59
2026-07,newbalance,996,GREY,42,43
2026-08,newbalance,996,GREY,42,29
2026-05,birkenstock,ARIZONA,BEIGE,39,78
2026-06,birkenstock,ARIZONA,BEIGE,39,69
2026-07,birkenstock,ARIZONA,BEIGE,39,41
2026-08,birkenstock,ARIZONA,BEIGE,39,38
2026-05,newbalance,990v6,BEIGE,40,21
2026-06,newbalance,990v6,BEIGE,40,44
2026-07,newbalance,990v6,BEIGE,40,47
2026-08,newbalance,990v6,BEIGE,40,97
2026-05,birkenstock,BOSTON,WHITE,39,76
2026-06,birkenstock,BOSTON,WHITE,39,78
2026-07,birkenstock,BOSTON,WHITE,39,46
2026-08,birkenstock,BOSTON,WHITE,39,33
2026-05,newbalance,990v6,WHITE,41,30
2026-06,newbalance,990v6,WHITE,41,74
2026-07,newbalance,990v6,WHITE,41,20
2026-08,newbalance,990v6,WHITE,41,64
2026-05,lacoste,L.12.12 POLO,CORE BLACK,S,42
2026-06,lacoste,L.12.12 POLO,CORE BLACK,S,83
2026-07,lacoste,L.12.12 POLO,CORE BLACK,S,78
2026-08,lacoste,L.12.12 POLO,CORE BLACK,S,70
2026-05,lacoste,L.12.12 POLO,NAVY,M,21
2026-06,lacoste,L.12.12 POLO,NAVY,M,30
2026-07,lacoste,L.12.12 POLO,NAVY,M,72
2026-08,lacoste,L.12.12 POLO,NAVY,M,91
2026-05,birkenstock,ARIZONA,BEIGE,42,92
2026-06,birkenstock,ARIZONA,BEIGE,42,87
2026-07,birkenstock,ARIZONA,BEIGE,42,74
2026-08,birkenstock,ARIZONA,BEIGE,42,43
2026-05,newbalance,550,CORE BLACK,40,27
2026-06,newbalance,550,CORE BLACK,40,67
2026-07,newbalance,550,CORE BLACK,40,47
2026-08,newbalance,550,CORE BLACK,40,56
