# MOCK_DATA — 운영시 BI 추출 파일로 교체
week,brandId,style,color,size,onHand
2025-W01,adidas,CAMPUS,GREY,41,182
2025-W02,adidas,CAMPUS,GREY,41,179
2025-W03,adidas,CAMPUS,GREY,41,172
2025-W04,adidas,CAMPUS,GREY,41,172
2025-W05,adidas,CAMPUS,GREY,41,166
2025-W06,adidas,CAMPUS,GREY,41,159
2025-W07,adidas,CAMPUS,GREY,41,153
2025-W08,adidas,CAMPUS,GREY,41,146
2025-W09,adidas,CAMPUS,GREY,41,144
2025-W10,adidas,CAMPUS,GREY,41,136
2025-W11,adidas,CAMPUS,GREY,41,135
2025-W12,adidas,CAMPUS,GREY,41,131
2025-W01,newbalance,530,BEIGE,43,135
2025-W02,newbalance,530,BEIGE,43,135
2025-W03,newbalance,530,BEIGE,43,132
2025-W04,newbalance,530,BEIGE,43,132
2025-W05,newbalance,530,BEIGE,43,128
2025-W06,newbalance,530,BEIGE,43,126
2025-W07,newbalance,530,BEIGE,43,120
2025-W08,newbalance,530,BEIGE,43,118
2025-W09,newbalance,530,BEIGE,43,113
2025-W10,newbalance,530,BEIGE,43,113
2025-W11,newbalance,530,BEIGE,43,107
2025-W12,newbalance,530,BEIGE,43,100
2025-W01,puma,SUEDE CLASSIC,WHITE,41,57
2025-W02,puma,SUEDE CLASSIC,WHITE,41,50
2025-W03,puma,SUEDE CLASSIC,WHITE,41,43
2025-W04,puma,SUEDE CLASSIC,WHITE,41,35
2025-W05,puma,SUEDE CLASSIC,WHITE,41,32
2025-W06,puma,SUEDE CLASSIC,WHITE,41,32
2025-W07,puma,SUEDE CLASSIC,WHITE,41,31
2025-W08,puma,SUEDE CLASSIC,WHITE,41,26
2025-W09,puma,SUEDE CLASSIC,WHITE,41,25
2025-W10,puma,SUEDE CLASSIC,WHITE,41,20
2025-W11,puma,SUEDE CLASSIC,WHITE,41,17
2025-W12,puma,SUEDE CLASSIC,WHITE,41,15
2025-W01,birkenstock,BOSTON,WHITE,42,143
2025-W02,birkenstock,BOSTON,WHITE,42,141
2025-W03,birkenstock,BOSTON,WHITE,42,135
2025-W04,birkenstock,BOSTON,WHITE,42,131
2025-W05,birkenstock,BOSTON,WHITE,42,123
2025-W06,birkenstock,BOSTON,WHITE,42,119
2025-W07,birkenstock,BOSTON,WHITE,42,119
2025-W08,birkenstock,BOSTON,WHITE,42,117
2025-W09,birkenstock,BOSTON,WHITE,42,115
2025-W10,birkenstock,BOSTON,WHITE,42,109
2025-W11,birkenstock,BOSTON,WHITE,42,108
2025-W12,birkenstock,BOSTON,WHITE,42,105
2025-W01,newbalance,530,NAVY,41,58
2025-W02,newbalance,530,NAVY,41,54
2025-W03,newbalance,530,NAVY,41,54
2025-W04,newbalance,530,NAVY,41,46
2025-W05,newbalance,530,NAVY,41,42
2025-W06,newbalance,530,NAVY,41,40
2025-W07,newbalance,530,NAVY,41,36
2025-W08,newbalance,530,NAVY,41,30
2025-W09,newbalance,530,NAVY,41,24
2025-W10,newbalance,530,NAVY,41,16
2025-W11,newbalance,530,NAVY,41,14
2025-W12,newbalance,530,NAVY,41,7
2025-W01,nike,JORDAN 1 LOW,GREY,39,179
2025-W02,nike,JORDAN 1 LOW,GREY,39,178
2025-W03,nike,JORDAN 1 LOW,GREY,39,178
2025-W04,nike,JORDAN 1 LOW,GREY,39,172
2025-W05,nike,JORDAN 1 LOW,GREY,39,172
2025-W06,nike,JORDAN 1 LOW,GREY,39,169
2025-W07,nike,JORDAN 1 LOW,GREY,39,161
2025-W08,nike,JORDAN 1 LOW,GREY,39,158
2025-W09,nike,JORDAN 1 LOW,GREY,39,158
2025-W10,nike,JORDAN 1 LOW,GREY,39,156
2025-W11,nike,JORDAN 1 LOW,GREY,39,150
2025-W12,nike,JORDAN 1 LOW,GREY,39,149
2025-W01,lacoste,CARNABY EVO,NAVY,M,128
2025-W02,lacoste,CARNABY EVO,NAVY,M,126
2025-W03,lacoste,CARNABY EVO,NAVY,M,125
2025-W04,lacoste,CARNABY EVO,NAVY,M,121
2025-W05,lacoste,CARNABY EVO,NAVY,M,115
2025-W06,lacoste,CARNABY EVO,NAVY,M,114
2025-W07,lacoste,CARNABY EVO,NAVY,M,112
2025-W08,lacoste,CARNABY EVO,NAVY,M,112
2025-W09,lacoste,CARNABY EVO,NAVY,M,107
2025-W10,lacoste,CARNABY EVO,NAVY,M,100
2025-W11,lacoste,CARNABY EVO,NAVY,M,92
2025-W12,lacoste,CARNABY EVO,NAVY,M,87
2025-W01,adidas,ULTRABOOST 22,NAVY,39,78
2025-W02,adidas,ULTRABOOST 22,NAVY,39,76
2025-W03,adidas,ULTRABOOST 22,NAVY,39,74
2025-W04,adidas,ULTRABOOST 22,NAVY,39,74
2025-W05,adidas,ULTRABOOST 22,NAVY,39,66
2025-W06,adidas,ULTRABOOST 22,NAVY,39,64
2025-W07,adidas,ULTRABOOST 22,NAVY,39,60
2025-W08,adidas,ULTRABOOST 22,NAVY,39,59
2025-W09,adidas,ULTRABOOST 22,NAVY,39,55
2025-W10,adidas,ULTRABOOST 22,NAVY,39,50
2025-W11,adidas,ULTRABOOST 22,NAVY,39,46
2025-W12,adidas,ULTRABOOST 22,NAVY,39,45
2025-W01,puma,SUEDE CLASSIC,NAVY,41,128
2025-W02,puma,SUEDE CLASSIC,NAVY,41,121
2025-W03,puma,SUEDE CLASSIC,NAVY,41,114
2025-W04,puma,SUEDE CLASSIC,NAVY,41,113
2025-W05,puma,SUEDE CLASSIC,NAVY,41,111
2025-W06,puma,SUEDE CLASSIC,NAVY,41,108
2025-W07,puma,SUEDE CLASSIC,NAVY,41,105
2025-W08,puma,SUEDE CLASSIC,NAVY,41,104
2025-W09,puma,SUEDE CLASSIC,NAVY,41,97
2025-W10,puma,SUEDE CLASSIC,NAVY,41,93
2025-W11,puma,SUEDE CLASSIC,NAVY,41,90
2025-W12,puma,SUEDE CLASSIC,NAVY,41,86
2025-W01,newbalance,2002R,NAVY,39,110
2025-W02,newbalance,2002R,NAVY,39,106
2025-W03,newbalance,2002R,NAVY,39,98
2025-W04,newbalance,2002R,NAVY,39,98
2025-W05,newbalance,2002R,NAVY,39,92
2025-W06,newbalance,2002R,NAVY,39,92
2025-W07,newbalance,2002R,NAVY,39,84
2025-W08,newbalance,2002R,NAVY,39,78
2025-W09,newbalance,2002R,NAVY,39,71
2025-W10,newbalance,2002R,NAVY,39,67
2025-W11,newbalance,2002R,NAVY,39,64
2025-W12,newbalance,2002R,NAVY,39,60
2025-W01,lacoste,CROC HOODIE,WHITE,S,97
2025-W02,lacoste,CROC HOODIE,WHITE,S,97
2025-W03,lacoste,CROC HOODIE,WHITE,S,91
2025-W04,lacoste,CROC HOODIE,WHITE,S,91
2025-W05,lacoste,CROC HOODIE,WHITE,S,90
2025-W06,lacoste,CROC HOODIE,WHITE,S,88
2025-W07,lacoste,CROC HOODIE,WHITE,S,87
2025-W08,lacoste,CROC HOODIE,WHITE,S,80
2025-W09,lacoste,CROC HOODIE,WHITE,S,79
2025-W10,lacoste,CROC HOODIE,WHITE,S,77
2025-W11,lacoste,CROC HOODIE,WHITE,S,72
2025-W12,lacoste,CROC HOODIE,WHITE,S,70
2025-W01,adidas,SUPERSTAR,CORE BLACK,39,86
2025-W02,adidas,SUPERSTAR,CORE BLACK,39,84
2025-W03,adidas,SUPERSTAR,CORE BLACK,39,79
2025-W04,adidas,SUPERSTAR,CORE BLACK,39,79
2025-W05,adidas,SUPERSTAR,CORE BLACK,39,78
2025-W06,adidas,SUPERSTAR,CORE BLACK,39,74
2025-W07,adidas,SUPERSTAR,CORE BLACK,39,74
2025-W08,adidas,SUPERSTAR,CORE BLACK,39,73
2025-W09,adidas,SUPERSTAR,CORE BLACK,39,72
2025-W10,adidas,SUPERSTAR,CORE BLACK,39,68
2025-W11,adidas,SUPERSTAR,CORE BLACK,39,66
2025-W12,adidas,SUPERSTAR,CORE BLACK,39,58
2025-W01,newbalance,550,GREY,41,98
2025-W02,newbalance,550,GREY,41,97
2025-W03,newbalance,550,GREY,41,91
2025-W04,newbalance,550,GREY,41,90
2025-W05,newbalance,550,GREY,41,84
2025-W06,newbalance,550,GREY,41,83
2025-W07,newbalance,550,GREY,41,76
2025-W08,newbalance,550,GREY,41,69
2025-W09,newbalance,550,GREY,41,62
2025-W10,newbalance,550,GREY,41,58
2025-W11,newbalance,550,GREY,41,51
2025-W12,newbalance,550,GREY,41,44
2025-W01,lacoste,L.12.12 POLO,GREY,S,166
2025-W02,lacoste,L.12.12 POLO,GREY,S,165
2025-W03,lacoste,L.12.12 POLO,GREY,S,160
2025-W04,lacoste,L.12.12 POLO,GREY,S,153
2025-W05,lacoste,L.12.12 POLO,GREY,S,149
2025-W06,lacoste,L.12.12 POLO,GREY,S,149
2025-W07,lacoste,L.12.12 POLO,GREY,S,145
2025-W08,lacoste,L.12.12 POLO,GREY,S,143
2025-W09,lacoste,L.12.12 POLO,GREY,S,143
2025-W10,lacoste,L.12.12 POLO,GREY,S,142
2025-W11,lacoste,L.12.12 POLO,GREY,S,140
2025-W12,lacoste,L.12.12 POLO,GREY,S,138
2025-W01,newbalance,996,GREY,39,66
2025-W02,newbalance,996,GREY,39,59
2025-W03,newbalance,996,GREY,39,56
2025-W04,newbalance,996,GREY,39,49
2025-W05,newbalance,996,GREY,39,46
2025-W06,newbalance,996,GREY,39,42
2025-W07,newbalance,996,GREY,39,40
2025-W08,newbalance,996,GREY,39,37
2025-W09,newbalance,996,GREY,39,30
2025-W10,newbalance,996,GREY,39,25
2025-W11,newbalance,996,GREY,39,23
2025-W12,newbalance,996,GREY,39,16
2025-W01,newbalance,530,NAVY,41,47
2025-W02,newbalance,530,NAVY,41,42
2025-W03,newbalance,530,NAVY,41,41
2025-W04,newbalance,530,NAVY,41,40
2025-W05,newbalance,530,NAVY,41,39
2025-W06,newbalance,530,NAVY,41,36
2025-W07,newbalance,530,NAVY,41,28
2025-W08,newbalance,530,NAVY,41,24
2025-W09,newbalance,530,NAVY,41,21
2025-W10,newbalance,530,NAVY,41,14
2025-W11,newbalance,530,NAVY,41,14
2025-W12,newbalance,530,NAVY,41,9
2025-W01,birkenstock,ARIZONA,BEIGE,42,164
2025-W02,birkenstock,ARIZONA,BEIGE,42,161
2025-W03,birkenstock,ARIZONA,BEIGE,42,154
2025-W04,birkenstock,ARIZONA,BEIGE,42,152
2025-W05,birkenstock,ARIZONA,BEIGE,42,152
2025-W06,birkenstock,ARIZONA,BEIGE,42,147
2025-W07,birkenstock,ARIZONA,BEIGE,42,140
2025-W08,birkenstock,ARIZONA,BEIGE,42,137
2025-W09,birkenstock,ARIZONA,BEIGE,42,134
2025-W10,birkenstock,ARIZONA,BEIGE,42,126
2025-W11,birkenstock,ARIZONA,BEIGE,42,118
2025-W12,birkenstock,ARIZONA,BEIGE,42,118
2025-W01,birkenstock,ARIZONA,BEIGE,43,144
2025-W02,birkenstock,ARIZONA,BEIGE,43,142
2025-W03,birkenstock,ARIZONA,BEIGE,43,134
2025-W04,birkenstock,ARIZONA,BEIGE,43,133
2025-W05,birkenstock,ARIZONA,BEIGE,43,133
2025-W06,birkenstock,ARIZONA,BEIGE,43,131
2025-W07,birkenstock,ARIZONA,BEIGE,43,126
2025-W08,birkenstock,ARIZONA,BEIGE,43,125
2025-W09,birkenstock,ARIZONA,BEIGE,43,119
2025-W10,birkenstock,ARIZONA,BEIGE,43,111
2025-W11,birkenstock,ARIZONA,BEIGE,43,110
2025-W12,birkenstock,ARIZONA,BEIGE,43,104
2025-W01,puma,SUEDE CLASSIC,GREY,39,79
2025-W02,puma,SUEDE CLASSIC,GREY,39,78
2025-W03,puma,SUEDE CLASSIC,GREY,39,76
2025-W04,puma,SUEDE CLASSIC,GREY,39,74
2025-W05,puma,SUEDE CLASSIC,GREY,39,72
2025-W06,puma,SUEDE CLASSIC,GREY,39,69
2025-W07,puma,SUEDE CLASSIC,GREY,39,69
2025-W08,puma,SUEDE CLASSIC,GREY,39,63
2025-W09,puma,SUEDE CLASSIC,GREY,39,63
2025-W10,puma,SUEDE CLASSIC,GREY,39,61
2025-W11,puma,SUEDE CLASSIC,GREY,39,57
2025-W12,puma,SUEDE CLASSIC,GREY,39,52
2025-W01,adidas,GAZELLE,WHITE,39,116
2025-W02,adidas,GAZELLE,WHITE,39,116
2025-W03,adidas,GAZELLE,WHITE,39,116
2025-W04,adidas,GAZELLE,WHITE,39,112
2025-W05,adidas,GAZELLE,WHITE,39,106
2025-W06,adidas,GAZELLE,WHITE,39,103
2025-W07,adidas,GAZELLE,WHITE,39,99
2025-W08,adidas,GAZELLE,WHITE,39,98
2025-W09,adidas,GAZELLE,WHITE,39,90
2025-W10,adidas,GAZELLE,WHITE,39,87
2025-W11,adidas,GAZELLE,WHITE,39,86
2025-W12,adidas,GAZELLE,WHITE,39,83
2025-W01,adidas,ULTRABOOST 22,CORE BLACK,42,127
2025-W02,adidas,ULTRABOOST 22,CORE BLACK,42,124
