# MOCK_DATA — 운영시 BI 추출 파일로 교체
week,brandId,style,color,size,qty
2024-01-W1,adidas,CAMPUS,GREY,41,0
2024-01-W2,adidas,CAMPUS,GREY,41,2
2024-01-W3,adidas,CAMPUS,GREY,41,4
2024-01-W4,adidas,CAMPUS,GREY,41,5
2024-02-W1,adidas,CAMPUS,GREY,41,1
2024-02-W2,adidas,CAMPUS,GREY,41,3
2024-02-W3,adidas,CAMPUS,GREY,41,3
2024-02-W4,adidas,CAMPUS,GREY,41,3
2024-03-W1,adidas,CAMPUS,GREY,41,0
2024-03-W2,adidas,CAMPUS,GREY,41,3
2024-03-W3,adidas,CAMPUS,GREY,41,0
2024-03-W4,adidas,CAMPUS,GREY,41,5
2024-04-W1,adidas,CAMPUS,GREY,41,2
2024-04-W2,adidas,CAMPUS,GREY,41,5
2024-04-W3,adidas,CAMPUS,GREY,41,4
2024-04-W4,adidas,CAMPUS,GREY,41,3
2024-05-W1,adidas,CAMPUS,GREY,41,2
2024-05-W2,adidas,CAMPUS,GREY,41,2
2024-05-W3,adidas,CAMPUS,GREY,41,3
2024-05-W4,adidas,CAMPUS,GREY,41,0
2024-06-W1,adidas,CAMPUS,GREY,41,4
2024-06-W2,adidas,CAMPUS,GREY,41,0
2024-06-W3,adidas,CAMPUS,GREY,41,4
2024-06-W4,adidas,CAMPUS,GREY,41,6
2024-07-W1,adidas,CAMPUS,GREY,41,2
2024-07-W2,adidas,CAMPUS,GREY,41,5
2024-07-W3,adidas,CAMPUS,GREY,41,5
2024-07-W4,adidas,CAMPUS,GREY,41,5
2024-08-W1,adidas,CAMPUS,GREY,41,1
2024-08-W2,adidas,CAMPUS,GREY,41,3
2024-08-W3,adidas,CAMPUS,GREY,41,4
2024-08-W4,adidas,CAMPUS,GREY,41,0
2024-09-W1,adidas,CAMPUS,GREY,41,1
2024-09-W2,adidas,CAMPUS,GREY,41,1
2024-09-W3,adidas,CAMPUS,GREY,41,2
2024-09-W4,adidas,CAMPUS,GREY,41,6
2024-10-W1,adidas,CAMPUS,GREY,41,3
2024-10-W2,adidas,CAMPUS,GREY,41,1
2024-10-W3,adidas,CAMPUS,GREY,41,5
2024-10-W4,adidas,CAMPUS,GREY,41,4
2024-11-W1,adidas,CAMPUS,GREY,41,4
2024-11-W2,adidas,CAMPUS,GREY,41,4
2024-11-W3,adidas,CAMPUS,GREY,41,3
2024-11-W4,adidas,CAMPUS,GREY,41,2
2024-12-W1,adidas,CAMPUS,GREY,41,1
